iso,elapsed_ms,own_lag_ms,server_rtt_ms,daemon_rtt_ms
2026-08-10T07:48:16.061Z,22446,1.3,,2.0
2026-08-10T07:48:16.161Z,22546,1.0,,0.9
2026-08-10T07:48:16.261Z,22646,0.6,,0.8
2026-08-10T07:48:16.361Z,22746,0.5,,0.8
2026-08-10T07:48:16.461Z,22846,1.1,,2.2
2026-08-10T07:48:16.561Z,22947,1.5,,1.2
2026-08-10T07:48:16.661Z,23047,2.5,,1.7
2026-08-10T07:48:16.761Z,23147,2.3,,0.9
2026-08-10T07:48:16.861Z,23247,3.2,,1.0
2026-08-10T07:48:16.961Z,23347,1.9,,1.0
2026-08-10T07:48:17.062Z,23448,2.2,,0.8
2026-08-10T07:48:17.163Z,23548,12.3,,1.5
2026-08-10T07:48:17.263Z,23648,1.8,,1.5
2026-08-10T07:48:17.363Z,23748,0.5,,0.8
2026-08-10T07:48:17.463Z,23848,2.9,,1.2
2026-08-10T07:48:17.563Z,23949,1.2,,1.1
2026-08-10T07:48:17.663Z,24049,1.9,,1.0
2026-08-10T07:48:17.763Z,24149,1.6,,0.7
2026-08-10T07:48:17.863Z,24249,0.8,,1.6
2026-08-10T07:48:17.963Z,24349,1.4,,0.9
2026-08-10T07:48:18.063Z,24449,0.6,,1.1
2026-08-10T07:48:18.164Z,24549,3.9,,1.0
2026-08-10T07:48:18.264Z,24649,5.2,,0.8
2026-08-10T07:48:18.364Z,24749,1.7,,1.4
2026-08-10T07:48:18.464Z,24849,0.5,,3.5
2026-08-10T07:48:18.564Z,24949,0.8,,0.7
2026-08-10T07:48:18.664Z,25050,3.2,,0.7
2026-08-10T07:48:18.764Z,25150,1.7,,0.7
2026-08-10T07:48:18.864Z,25250,3.8,,1.0
2026-08-10T07:48:18.964Z,25350,2.5,,0.9
2026-08-10T07:48:19.064Z,25450,0.7,,0.7
2026-08-10T07:48:19.164Z,25550,1.3,,1.9
2026-08-10T07:48:19.265Z,25651,1.9,,3.8
2026-08-10T07:48:19.365Z,25751,1.5,,2.5
2026-08-10T07:48:19.465Z,25851,1.7,,1.6
2026-08-10T07:48:19.565Z,25951,3.2,,1.0
2026-08-10T07:48:19.666Z,26051,2.4,,0.8
2026-08-10T07:48:19.766Z,26151,0.6,,1.1
2026-08-10T07:48:19.866Z,26251,3.2,,3.9
2026-08-10T07:48:19.966Z,26351,1.9,,0.8
2026-08-10T07:48:20.066Z,26451,0.7,,0.9
2026-08-10T07:48:20.166Z,26551,3.6,,0.9
2026-08-10T07:48:20.266Z,26651,4.3,,1.0
2026-08-10T07:48:20.366Z,26751,2.6,,1.9
2026-08-10T07:48:20.466Z,26852,0.6,,0.7
2026-08-10T07:48:20.566Z,26952,11.9,,1.1
2026-08-10T07:48:20.666Z,27052,4.7,,1.4
2026-08-10T07:48:20.766Z,27152,0.5,,0.8
2026-08-10T07:48:20.867Z,27252,2.6,,25.4
2026-08-10T07:48:20.967Z,27353,2.4,,3.0
2026-08-10T07:48:21.067Z,27453,1.3,,1.6
2026-08-10T07:48:21.170Z,27556,1.6,,0.7
2026-08-10T07:48:21.270Z,27656,1.7,,0.7
2026-08-10T07:48:21.370Z,27756,3.7,,3.9
2026-08-10T07:48:21.470Z,27856,1.0,,2.3
2026-08-10T07:48:21.571Z,27956,1.5,,0.8
2026-08-10T07:48:21.671Z,28056,2.5,,1.6
2026-08-10T07:48:21.771Z,28156,1.3,,0.8
2026-08-10T07:48:21.871Z,28256,5.4,,0.8
2026-08-10T07:48:21.971Z,28356,0.7,,2.2
2026-08-10T07:48:22.071Z,28456,1.5,,0.8
2026-08-10T07:48:22.171Z,28557,1.5,,0.7
2026-08-10T07:48:22.272Z,28657,1.2,,2.7
2026-08-10T07:48:22.372Z,28757,0.6,,0.9
2026-08-10T07:48:22.472Z,28857,0.8,,0.9
2026-08-10T07:48:22.572Z,28957,0.5,,0.9
2026-08-10T07:48:22.672Z,29057,2.5,,0.9
2026-08-10T07:48:22.772Z,29157,1.9,,0.9
2026-08-10T07:48:22.873Z,29259,2.0,,0.9
2026-08-10T07:48:22.973Z,29359,1.9,,0.7
2026-08-10T07:48:23.074Z,29460,4.7,,0.7
2026-08-10T07:48:23.174Z,29560,1.0,,1.0
2026-08-10T07:48:23.274Z,29660,2.3,,1.0
2026-08-10T07:48:23.374Z,29760,4.5,,2.2
2026-08-10T07:48:23.475Z,29860,6.2,,2.5
2026-08-10T07:48:23.575Z,29963,2.9,,1.9
2026-08-10T07:48:23.675Z,30061,1.5,,0.9
2026-08-10T07:48:23.775Z,30161,1.2,,1.5
2026-08-10T07:48:23.875Z,30261,0.7,,1.9
2026-08-10T07:48:23.975Z,30361,2.2,,1.0
2026-08-10T07:48:24.075Z,30461,0.6,,0.7
2026-08-10T07:48:24.175Z,30561,0.7,,1.1
2026-08-10T07:48:24.276Z,30661,3.7,,0.9
2026-08-10T07:48:24.376Z,30761,2.3,,1.5
2026-08-10T07:48:24.476Z,30861,3.6,,1.5
2026-08-10T07:48:24.576Z,30962,1.8,,3.4
2026-08-10T07:48:24.676Z,31062,3.0,,1.1
2026-08-10T07:48:24.776Z,31162,0.6,,1.2
2026-08-10T07:48:24.876Z,31262,2.8,,1.0
2026-08-10T07:48:24.976Z,31362,0.6,,0.9
2026-08-10T07:48:25.077Z,31462,1.0,,2.6
2026-08-10T07:48:25.177Z,31562,0.7,,1.0
2026-08-10T07:48:25.277Z,31662,1.7,,0.8
2026-08-10T07:48:25.378Z,31763,6.7,,1.1
2026-08-10T07:48:25.478Z,31864,2.9,,1.1
2026-08-10T07:48:25.578Z,31964,2.0,,4.1
2026-08-10T07:48:25.682Z,32068,0.5,,1.0
2026-08-10T07:48:25.782Z,32168,3.7,,1.5
2026-08-10T07:48:25.883Z,32269,7.1,,1.6
2026-08-10T07:48:25.983Z,32369,2.3,,2.8
2026-08-10T07:48:26.083Z,32469,1.1,,1.6
2026-08-10T07:48:26.184Z,32569,1.6,,3.1
2026-08-10T07:48:26.286Z,32671,1.6,,3.3
2026-08-10T07:48:26.386Z,32772,5.6,,4.2
2026-08-10T07:48:26.486Z,32872,1.0,,2.3
2026-08-10T07:48:26.587Z,32972,5.0,,2.7
2026-08-10T07:48:26.688Z,33074,6.2,,6.1
2026-08-10T07:48:26.788Z,33174,8.5,,2.3
2026-08-10T07:48:26.889Z,33275,2.1,,1.5
2026-08-10T07:48:26.989Z,33375,1.9,,5.0
2026-08-10T07:48:27.091Z,33476,9.1,,2.1
2026-08-10T07:48:27.195Z,33580,3.1,,6.7
2026-08-10T07:48:27.297Z,33682,5.7,,1.8
2026-08-10T07:48:27.397Z,33782,13.5,,0.9
2026-08-10T07:48:27.497Z,33882,4.8,,1.0
2026-08-10T07:48:27.597Z,33983,5.0,,1.9
2026-08-10T07:48:27.699Z,34085,1.3,,2.4
2026-08-10T07:48:27.799Z,34185,2.5,,1.5
2026-08-10T07:48:27.902Z,34288,1.2,,1.1
2026-08-10T07:48:28.003Z,34389,3.9,,1.3
2026-08-10T07:48:28.104Z,34489,1.8,,2.4
2026-08-10T07:48:28.204Z,34589,2.8,,2.2
2026-08-10T07:48:28.304Z,34689,3.0,,1.6
2026-08-10T07:48:28.404Z,34789,1.4,,1.3
2026-08-10T07:48:28.505Z,34890,5.5,,12.3
2026-08-10T07:48:28.605Z,34990,2.1,,4.5
2026-08-10T07:48:28.705Z,35091,2.3,,3.4
2026-08-10T07:48:28.806Z,35191,2.8,,3.5
2026-08-10T07:48:28.906Z,35292,1.4,,1.0
2026-08-10T07:48:29.006Z,35392,1.2,,5.7
2026-08-10T07:48:29.106Z,35492,1.6,,11.4
2026-08-10T07:48:29.208Z,35593,3.1,,2.1
2026-08-10T07:48:29.309Z,35695,3.1,,0.8
2026-08-10T07:48:29.409Z,35795,1.0,,0.9
2026-08-10T07:48:29.509Z,35895,2.7,,3.2
2026-08-10T07:48:29.609Z,35995,2.4,,1.9
2026-08-10T07:48:29.710Z,36095,6.5,,2.4
2026-08-10T07:48:29.810Z,36195,5.7,,1.0
2026-08-10T07:48:29.910Z,36295,0.9,,3.2
2026-08-10T07:48:30.011Z,36396,2.5,,0.9
2026-08-10T07:48:30.111Z,36497,1.5,,0.9
2026-08-10T07:48:30.218Z,36603,8.0,,0.9
2026-08-10T07:48:30.321Z,36707,7.7,,0.9
2026-08-10T07:48:30.421Z,36807,1.7,,0.7
2026-08-10T07:48:30.521Z,36907,2.3,,11.7
2026-08-10T07:48:30.624Z,37009,3.9,,2.2
2026-08-10T07:48:30.726Z,37111,2.6,,0.9
2026-08-10T07:48:30.826Z,37211,2.6,,0.7
2026-08-10T07:48:30.927Z,37313,3.3,,3.4
2026-08-10T07:48:31.027Z,37413,2.2,,1.1
2026-08-10T07:48:31.128Z,37513,0.7,,2.5
2026-08-10T07:48:31.228Z,37613,0.6,,3.5
2026-08-10T07:48:31.328Z,37713,0.6,,4.3
2026-08-10T07:48:31.429Z,37814,1.7,,0.8
2026-08-10T07:48:31.529Z,37915,1.5,,1.5
2026-08-10T07:48:31.629Z,38015,1.0,,0.9
2026-08-10T07:48:31.729Z,38115,0.9,,2.4
2026-08-10T07:48:31.831Z,38216,2.1,,0.9
2026-08-10T07:48:31.932Z,38318,2.7,,0.9
2026-08-10T07:48:32.032Z,38418,1.1,,2.9
2026-08-10T07:48:32.133Z,38519,3.1,,1.0
2026-08-10T07:48:32.234Z,38620,2.5,,1.7
2026-08-10T07:48:32.334Z,38720,3.2,,4.1
2026-08-10T07:48:32.434Z,38820,1.7,,7.2
2026-08-10T07:48:32.536Z,38922,1.8,,2.9
2026-08-10T07:48:32.636Z,39022,2.1,,1.4
2026-08-10T07:48:32.737Z,39123,0.6,,0.8
2026-08-10T07:48:32.837Z,39223,2.0,,0.9
2026-08-10T07:48:32.937Z,39323,2.8,,1.2
2026-08-10T07:48:33.038Z,39424,0.9,,2.7
2026-08-10T07:48:33.138Z,39524,1.0,,0.7
2026-08-10T07:48:33.240Z,39625,1.7,,0.9
2026-08-10T07:48:33.343Z,39728,6.6,,0.9
2026-08-10T07:48:33.443Z,39829,2.7,,2.3
2026-08-10T07:48:33.543Z,39929,1.3,,1.1
2026-08-10T07:48:33.644Z,40030,1.3,,1.0
2026-08-10T07:48:33.744Z,40130,2.0,,1.0
2026-08-10T07:48:33.845Z,40230,1.8,,1.0
2026-08-10T07:48:33.945Z,40330,1.6,,0.9
2026-08-10T07:48:34.045Z,40431,2.8,,0.8
